,city,lat,long,Country,date,temperature,humidity,cloudiness,wind speed
184,Hargeisa,9.56,44.065,SO,1645501268,60.03,86,76,13.02
185,Buin,-33.7333,-70.75,CL,1645501268,61.72,75,26,2.73
186,Villa Unión,23.2,-106.2333,MX,1645501269,69.76,56,20,0.0
187,Alofi,-19.0595,-169.9187,NU,1645501269,76.89,88,100,5.75
188,Mahdalynivka,48.921,34.9156,UA,1645501270,32.58,87,100,11.18
189,Zeya,53.75,127.2667,RU,1645501270,11.39,56,68,4.5
190,Mandlā,22.6,80.3833,IN,1645501271,76.71,16,0,3.22
191,Puerto Ayora,-0.7393,-90.3518,EC,1645501271,77.56,92,25,3.0
192,Karachi,24.9056,67.0822,PK,1645501176,73.22,78,0,11.5
193,Severnoye,56.3491,78.3619,RU,1645501272,23.07,95,95,7.92
194,Grindavik,63.8424,-22.4338,IS,1645500768,36.07,93,75,14.97
195,Port-Gentil,-0.7193,8.7815,GA,1645501272,80.76,81,96,8.25
196,Berlevåg,70.8578,29.0864,NO,1645501272,15.8,78,100,5.3
197,Buraidah,26.326,43.975,SA,1645501273,45.05,36,1,3.85
198,Sinnamary,5.3833,-52.95,GF,1645501273,76.71,90,100,6.22
199,Marsh Harbour,26.5412,-77.0636,BS,1645501274,72.93,77,20,18.25
200,Bilma,18.6853,12.9164,NE,1645501274,63.73,11,0,5.77
201,Takoradze,4.8845,-1.7554,GH,1645501275,78.76,91,37,6.98
202,Berbera,10.4396,45.0143,SO,1645501275,74.12,77,33,2.04
203,Dordrecht,51.81,4.6736,NL,1645501275,40.89,88,54,4.0
204,Otradnoye,59.7775,30.8181,RU,1645501276,33.01,99,100,5.68
205,Havelock,34.8791,-76.9013,US,1645501276,58.75,85,100,3.0
206,Fatsa,41.0278,37.5014,TR,1645501082,40.8,68,9,9.69
207,Chul'man,56.8479,124.9104,RU,1645501277,12.4,87,100,6.04
208,Meulaboh,4.1363,96.1285,ID,1645501277,84.31,68,85,1.05
209,Sawtell,-30.3833,153.1,AU,1645501278,73.72,92,75,5.75
210,Siderno,38.2779,16.302,IT,1645501278,48.79,75,35,25.32
211,Kavieng,-2.5744,150.7967,PG,1645501278,81.95,76,100,10.85
212,Muroto-misakicho,33.2833,134.15,JP,1645501279,51.84,43,8,18.28
213,Terney,45.0503,136.6092,RU,1645501279,18.34,64,100,11.86
214,Mount Isa,-20.7333,139.5,AU,1645501280,94.77,15,5,6.91
215,Coquimbo,-29.9533,-71.3436,CL,1645501159,60.53,88,0,5.75
216,Kapuskasing,49.4169,-82.4331,CA,1645501280,-7.6,71,100,6.91
217,Stokmarknes,68.5646,14.9108,NO,1645501281,19.49,86,22,5.03
218,Husavik,66.0449,-17.3389,IS,1645501281,35.91,79,82,54.72
219,Sulangan,11.1373,123.7228,PH,1645501282,80.49,78,100,15.57
220,Vila Franca do Campo,37.7167,-25.4333,PT,1645501282,59.2,70,91,7.11
221,Princeton,25.5384,-80.4089,US,1645501283,70.56,81,0,5.75
222,Evensk,61.95,159.2333,RU,1645501283,-9.65,82,1,3.6
223,Narsaq,60.9167,-46.05,GL,1645501283,-3.78,72,96,7.11
224,Samarai,-10.6167,150.6667,PG,1645501284,85.64,70,100,9.13
225,Waterloo,43.4668,-80.5164,CA,1645501284,33.31,93,100,12.66
226,Tashtyp,52.7939,89.8983,RU,1645501285,20.44,76,86,1.97
227,Almaznyy,48.0448,40.045,RU,1645501285,32.14,94,100,7.52
228,Chui,-33.6971,-53.4616,UY,1645501285,66.33,85,17,9.66
229,Wanlaweyn,2.6185,44.8938,SO,1645501286,75.11,78,51,12.62
230,Williston,48.147,-103.618,US,1645500720,-9.47,71,100,1.01
231,Chipinge,-20.1883,32.6236,ZW,1645501286,62.28,97,25,3.2
232,Praia da Vitória,38.7333,-27.0667,PT,1645501287,52.05,87,20,3.6
233,Valentín Gómez Farías,28.2167,-106.5833,MX,1645501287,52.54,37,59,27.11
234,Victoria Point,-27.5833,153.3,AU,1645501288,82.67,76,4,5.01
